NVIS_ID,VEGCODE,FOREST_STR,VEGCODE_D,VEG_GROUP,MAPUNT_IDE
2152,DOB,Woodland,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland,2152
2153,DOB,Woodland,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland,2153
2154,DOB,Woodland,(DOB) Eucalyptus obliqua dry forest,Dry eucalypt forest and woodland,2154
2155,DOV,Woodland,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland,2155
2156,DOV,Woodland,(DOV) Eucalyptus ovata forest and woodland,Dry eucalypt forest and woodland,2156
2157,DPO,Woodland,(DPO) Eucalyptus pauciflora forest and woodland not on dolerite,Dry eucalypt forest and woodland,2157
2158,DPD,Woodland,(DPD) Eucalyptus pauciflora forest and woodland on dolerite,Dry eucalypt forest and woodland,2158
2159,DRO,Woodland,(DRO) Eucalyptus rodwayi forest and woodland,Dry eucalypt forest and woodland,2159
2160,DSG,Woodland,(DSG) Eucalyptus sieberi forest and woodland on granite,Dry eucalypt forest and woodland,2160
2161,DSO,Woodland,(DSO) Eucalyptus sieberi forest and woodland not on granite,Dry eucalypt forest and woodland,2161
2162,DTD,Woodland,(DTD) Eucalyptus tenuiramis forest and woodland on dolerite,Dry eucalypt forest and woodland,2162
2163,DTD,Woodland,(DTD) Eucalyptus tenuiramis forest and woodland on dolerite,Dry eucalypt forest and woodland,2163
2164,DTG,Woodland,(DTG) Eucalyptus tenuiramis forest and woodland on granite,Dry eucalypt forest and woodland,2164
2165,DTO,Woodland,(DTO) Eucalyptus tenuiramis forest and woodland on sediments,Dry eucalypt forest and woodland,2165
2166,DTO,Woodland,(DTO) Eucalyptus tenuiramis forest and woodland on sediments,Dry eucalypt forest and woodland,2166
2167,DTO,Woodland,(DTO) Eucalyptus tenuiramis forest and woodland on sediments,Dry eucalypt forest and woodland,2167
2168,DVF,Woodland,(DVF) Eucalyptus viminalis Furneaux forest and woodland,Dry eucalypt forest and woodland,2168
2169,DVF,Woodland,(DVF) Eucalyptus viminalis Furneaux forest and woodland,Dry eucalypt forest and woodland,2169
